NodeType;X;Y;Z;Ptx;CCA;ActionSelected;IEEEprotocol;InitialLoad
AP;6.000000;13.000000;0.253974;20;-80.000000;1;2;0
AP;13.000000;13.000000;1.264718;20;-80.000000;1;2;0
AP;20.000000;13.000000;0.556996;20;-80.000000;1;2;0
STA;4.279667;17.651152;0.063666;20;1.000000;0;0;0
STA;0.861152;10.968609;0.763117;20;2.000000;0;0;0
STA;11.139655;16.157825;1.418730;20;2.000000;0;0;0
STA;6.900627;16.992567;1.310196;20;1.000000;0;0;0
STA;2.974942;12.459101;1.919488;20;1.000000;0;0;0
STA;4.914881;6.277096;1.232089;20;1.000000;0;0;0
STA;3.247655;14.220592;0.938781;20;1.000000;0;0;0
STA;7.780376;13.213328;0.331297;20;2.000000;0;0;0
STA;6.574282;16.351977;1.378429;20;2.000000;0;0;0
STA;6.496760;20.001712;0.862828;20;2.000000;0;0;0
STA;4.546176;6.595073;0.291078;20;1.000000;0;0;0
STA;8.773810;12.831238;0.803616;20;1.000000;0;0;0
STA;5.998813;10.431677;0.099309;20;2.000000;0;0;0
STA;2.780069;19.506302;0.779478;20;1.000000;0;0;0
STA;4.224751;16.227887;1.463445;20;2.000000;0;0;0
STA;11.273093;13.675222;0.592642;20;2.000000;0;0;0
STA;9.212115;15.640464;1.560455;20;1.000000;0;0;0
STA;10.896465;11.169594;0.612699;20;2.000000;0;0;0
STA;16.107953;9.465235;1.623161;20;2.000000;0;0;0
STA;13.753909;15.561877;1.174089;20;1.000000;0;0;0
STA;7.531158;11.773084;0.460976;20;2.000000;0;0;0
STA;9.412985;11.125485;1.205686;20;2.000000;0;0;0
STA;7.969458;10.604169;1.015717;20;1.000000;0;0;0
STA;16.168542;18.29653;0.917698;20;2.000000;0;0;0
STA;12.222444;15.601502;1.358271;20;1.000000;0;0;0
STA;15.246666;15.441660;1.718885;20;2.000000;0;0;0
STA;16.490131;12.964874;1.945949;20;2.000000;0;0;0
STA;20.008264;11.344943;0.864783;20;2.000000;0;0;0
STA;10.419987;16.421497;1.255947;20;1.000000;0;0;0
STA;16.658471;13.478162;1.396211;20;2.000000;0;0;0
STA;22.046663;16.729383;0.380867;20;1.000000;0;0;0
STA;21.388070;16.119113;0.752544;20;1.000000;0;0;0
STA;24.566585;18.256220;0.687754;20;2.000000;0;0;0
STA;20.444014;6.518200;1.188713;20;1.000000;0;0;0
STA;14.963092;11.773106;1.391899;20;2.000000;0;0;0
STA;24.216233;13.283348;0.650291;20;1.000000;0;0;0
STA;23.590566;15.942727;1.915388;20;1.000000;0;0;0
STA;16.903058;7.226614;1.343616;20;2.000000;0;0;0
STA;19.512991;16.883302;0.013431;20;2.000000;0;0;0
STA;19.253993;8.061795;1.569479;20;1.000000;0;0;0
STA;13.664828;10.643221;1.288886;20;2.000000;0;0;0
STA;16.975419;15.894668;1.890348;20;1.000000;0;0;0
STA;15.182599;11.253442;0.917451;20;2.000000;0;0;0
STA;19.257138;8.755450;1.324019;20;1.000000;0;0;0
STA;15.336518;14.556229;1.081479;20;2.000000;0;0;0
